car,price
Acura,18554.384615384617
Alfa Romeo,9040.818181818182
Aro,3600.0
Aston Martin,65000.0
Audi,18489.6334841629
BMW,22575.33823529412
BYD,8114.142857142857
Barkas,5500.0
Bentley,70506.875
Bogdan,4950.0
Buick,3500.0
Cadillac,33750.0
Changan,6028.0
Chery,4404.671698113208
Chevrolet,10289.322669753086
Chrysler,10293.096153846154
Citroen,8370.230469339624
Dacia,4891.791666666667
Dadi,5550.0
Daewoo,3806.2459051724136
Daihatsu,6600.0
Dodge,20307.14285714286
FAW,4900.0
Fiat,6584.044871794872
Ford,10599.573446376813
GAZ,3646.7833333333333
GMC,26499.0
Geely,6253.815089285715
Great Wall,8555.555555555555
Groz,4400.0
Hafei,6100.0
Honda,13656.487035539216
Huanghai,8500.0
Hummer,28440.0
Hyundai,12629.368135359118
Infiniti,27741.494375000002
Isuzu,9980.0
JAC,8350.0
Jaguar,24791.644736842107
Jeep,25647.52
Kia,12273.084808411217
Lancia,2166.6666666666665
Land Rover,47250.976744186046
Lexus,25547.620858895705
Lifan,3800.0
Lincoln,16500.0
MG,9149.5
MINI,17667.666666666668
Maserati,110000.0
Mazda,10373.601813471501
Mercedes-Benz,22073.52303860523
Mercury,10000.0
Mitsubishi,11295.713003095974
Moskvich-AZLK,1751.8181818181818
Moskvich-Izh,1176.10259
Nissan,13907.932619178084
Opel,6333.13417721519
Other-Retro,12700.0
Peugeot,8801.644444444444
Porsche,48065.875
Renault,8035.1269661184215
Rover,12512.5
SMA,2900.0
Saab,7000.0
Samand,4749.5
Samsung,6299.0
Seat,8414.076923076924
Skoda,10851.218657162535
Smart,6770.497234210527
SsangYong,14252.01522222222
Subaru,14121.375
Suzuki,10855.063793103449
TATA,12900.0
Tesla,68473.33333333333
Toyota,21436.81734836223
UAZ,4551.428571428572
VAZ,2883.8217708333327
Volkswagen,13125.26791321586
Volvo,18586.5625
Wartburg,1000.0
ZAZ,3216.63919
ZX,7700.0
ï¿½UAZ,2709.35
